Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,CO,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Florey,"(-35.220606, 149.043539)",08/04/2020 19:00,0,0.021,0.021,0.07,11.42,4.9,0,0,21,27,22,19,27,08-Apr-20,19:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 20:00,,0.018,0.019,0,8.35,5.27,0,0,18,23,16,21,23,08-Apr-20,20:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 20:00,0,0.021,0.021,0.07,11.22,4.95,0,0,21,27,22,19,27,08-Apr-20,20:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 20:00,0,0.022,0.023,0,8.44,5.02,0,0,22,29,16,20,29,08-Apr-20,20:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 21:00,0,0.021,0.021,0.07,10.81,4.69,0,0,21,26,21,18,26,08-Apr-20,21:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 21:00,,0.02,0.019,0,8.3,5.31,0,0,20,24,16,21,24,08-Apr-20,21:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 18:00,,0.018,0.019,0,8.9,5.26,0,0,18,24,17,21,24,08-Apr-20,18:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 18:00,0,0.023,0.024,0,9.06,5.27,0,0,23,30,18,21,30,08-Apr-20,18:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 18:00,0,0.021,0.023,0.07,11.71,4.57,0,0,21,28,23,18,28,08-Apr-20,18:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 21:00,0,0.022,0.022,0,7.86,4.75,0,0,22,28,15,19,28,08-Apr-20,21:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 22:00,0,0.022,0.021,0.07,10.61,4.68,0,0,22,27,21,18,27,08-Apr-20,22:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 22:00,,0.019,0.019,0,8.48,5.35,0,0,19,24,16,21,24,08-Apr-20,22:00:00
